word	other_form	surface_form	direction	freq	pmi	example_sentence
tärkeä	olla	on tärkeää	L	41380	2.0006	Se on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	Nyt on tärkeää , ettet luo enää mitään .
tärkeä	olla	on tärkeää	L	41380	2.0006	Kuuntele nyt tämä on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	Tämä on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	... tämä on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	se on tärkeää , joten harkitse tarkkaan , mitä sanot .
tärkeä	olla	on tärkeää	L	41380	2.0006	Tämä on tärkeää , joten harkitse .
tärkeä	olla	on tärkeää	L	41380	2.0006	Älä kerro minulle , mikä on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	Stipendisi hyvään yliopistoon pääsy on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	miksi se on tärkeää ?
tärkeä	olla	on tärkeää	L	41380	2.0006	Tietenkin se on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	Hän kertoi , on tärkeää , tunnen oloni mukavaksi .
tärkeä	olla	on tärkeää	L	41380	2.0006	Minusta parille on tärkeää päästä alkuun oikealla jalalla , eikä päätyä syytöksiin .
tärkeä	olla	on tärkeää	L	41380	2.0006	Muuten , sinulla on tärkeää asiaa Switchille ...
tärkeä	olla	on tärkeää	L	41380	2.0006	Täällä on tärkeää käyttäytyä hyvin .
tärkeä	olla	on tärkeää	L	41380	2.0006	se on tärkeää , Kay .
tärkeä	olla	on tärkeää	L	41380	2.0006	Isä , tämä on tärkeää !
tärkeä	olla	on tärkeää	L	41380	2.0006	Älä munaa tätä Zack , tämä on tärkeää .
tärkeä	olla	on tärkeää	L	41380	2.0006	Tässä vaiheessa on tärkeää vain selviäminen .
tärkeä	olla	on tärkeää	L	41380	2.0006	Tämä on tärkeää ...
tärkeä	olla	tärkeintä on	R	6539	0.1556	Tärkeintä on , me annamme ihmisten kuulla meistä .
